PicoQuant FluoFit-style Python Export
Saved : 09/11/2026 12:53:04 PM

Python 1-exponential reconvolution fit

Model: Exp. [Reconv.] (1 Exponential Components)
Plotted Data Set #0 Decay:
"tryptamine_0p067odat261ex_350em_200uw_50ns_20mins_1938_may20_2025.sdt" (0)
Plotted Data Set #0 IRF:
"irf_261ex_261emt261ex_100uw_2143_nodblexc_05202025_correctcuvetteposition.sdt" (0)
X²(reduced): 1.0275 ; Fitted Data Points: 3915

Data Set #0
     Decay                 IRF                   Model Decay           Residuals
     t[ns]     Intens.     t[ns]     Intens.     t[ns]     Intens.     t[ns]       diff.
    2.795410           0    2.795410           0    2.795410      0.0533    2.795410     -0.0533
    2.807617           0    2.807617           0    2.807617      0.0531    2.807617     -0.0531
    2.819824           0    2.819824           0    2.819824      0.0530    2.819824     -0.0530
    2.832031           0    2.832031           0    2.832031      0.0565    2.832031     -0.0565
    2.844238           0    2.844238           0    2.844238      0.0733    2.844238     -0.0733
    2.856445           1    2.856445           0    2.856445      0.0731    2.856445      0.9269
    2.868652           0    2.868652           0    2.868652      0.0729    2.868652     -0.0729
    2.880859           1    2.880859           1    2.880859      0.0728    2.880859      0.9272
    2.893066           0    2.893066           0    2.893066      0.0726    2.893066     -0.0726
    2.905273           0    2.905273           0    2.905273      0.0725    2.905273     -0.0725
    2.917481           0    2.917481           0    2.917481      0.0723    2.917481     -0.0723
    2.929688           0    2.929688           0    2.929688      0.0721    2.929688     -0.0721
    2.941895           0    2.941895           0    2.941895      0.0720    2.941895     -0.0720
    2.954102           0    2.954102           0    2.954102      0.0718    2.954102     -0.0718
    2.966309           0    2.966309           0    2.966309      0.0717    2.966309     -0.0717
    2.978516           0    2.978516           0    2.978516      0.0715    2.978516     -0.0715
    2.990723           0    2.990723           0    2.990723      0.0713    2.990723     -0.0713
    3.002930           0    3.002930           0    3.002930      0.0712    3.002930     -0.0712
    3.015137           0    3.015137           0    3.015137      0.0710    3.015137     -0.0710
    3.027344           0    3.027344           0    3.027344      0.0709    3.027344     -0.0709
    3.039551           0    3.039551           0    3.039551      0.0707    3.039551     -0.0707
    3.051758           0    3.051758           0    3.051758      0.0706    3.051758     -0.0706
    3.063965           0    3.063965           0    3.063965      0.0704    3.063965     -0.0704
    3.076172           0    3.076172           0    3.076172      0.0703    3.076172     -0.0703
    3.088379           0    3.088379           0    3.088379      0.0701    3.088379     -0.0701
    3.100586           0    3.100586           0    3.100586      0.0699    3.100586     -0.0699
    3.112793           0    3.112793           0    3.112793      0.0698    3.112793     -0.0698
    3.125000           0    3.125000           0    3.125000      0.0696    3.125000     -0.0696
    3.137207           1    3.137207           0    3.137207      0.0695    3.137207      0.9305
    3.149414           0    3.149414           0    3.149414      0.0693    3.149414     -0.0693
    3.161621           0    3.161621           0    3.161621      0.0692    3.161621     -0.0692
    3.173828           0    3.173828           0    3.173828      0.0690    3.173828     -0.0690
    3.186035           0    3.186035           0    3.186035      0.0689    3.186035     -0.0689
    3.198242           0    3.198242           0    3.198242      0.0687    3.198242     -0.0687
    3.210449           0    3.210449           0    3.210449      0.0686    3.210449     -0.0686
    3.222656           0    3.222656           0    3.222656      0.0684    3.222656     -0.0684
    3.234863           1    3.234863           0    3.234863      0.0683    3.234863      0.9317
    3.247070           0    3.247070           0    3.247070      0.0681    3.247070     -0.0681
    3.259277           0    3.259277           0    3.259277      0.0680    3.259277     -0.0680
    3.271484           0    3.271484           0    3.271484      0.0678    3.271484     -0.0678
    3.283691           0    3.283691           0    3.283691      0.0677    3.283691     -0.0677
    3.295898           1    3.295898           0    3.295898      0.0675    3.295898      0.9325
    3.308106           0    3.308106           0    3.308106      0.0674    3.308106     -0.0674
    3.320313           0    3.320313           0    3.320313      0.0672    3.320313     -0.0672
    3.332520           0    3.332520           0    3.332520      0.0671    3.332520     -0.0671
    3.344727           0    3.344727           0    3.344727      0.0669    3.344727     -0.0669
    3.356934           0    3.356934           0    3.356934      0.0668    3.356934     -0.0668
    3.369141           0    3.369141           0    3.369141      0.0666    3.369141     -0.0666
    3.381348           0    3.381348           0    3.381348      0.0665    3.381348     -0.0665
    3.393555           0    3.393555           0    3.393555      0.0663    3.393555     -0.0663
    3.405762           0    3.405762           0    3.405762      0.0662    3.405762     -0.0662
    3.417969           0    3.417969           0    3.417969      0.0660    3.417969     -0.0660
    3.430176           0    3.430176           0    3.430176      0.0659    3.430176     -0.0659
    3.442383           0    3.442383           0    3.442383      0.0657    3.442383     -0.0657
    3.454590           0    3.454590           0    3.454590      0.0656    3.454590     -0.0656
    3.466797           0    3.466797           0    3.466797      0.0654    3.466797     -0.0654
    3.479004           0    3.479004           0    3.479004      0.0653    3.479004     -0.0653
    3.491211           0    3.491211           0    3.491211      0.0652    3.491211     -0.0652
    3.503418           0    3.503418           0    3.503418      0.0650    3.503418     -0.0650
    3.515625           0    3.515625           0    3.515625      0.0649    3.515625     -0.0649
    3.527832           0    3.527832           0    3.527832      0.0647    3.527832     -0.0647
    3.540039           0    3.540039           0    3.540039      0.0646    3.540039     -0.0646
    3.552246           0    3.552246           0    3.552246      0.0644    3.552246     -0.0644
    3.564453           0    3.564453           0    3.564453      0.0643    3.564453     -0.0643
    3.576660           0    3.576660           0    3.576660      0.0642    3.576660     -0.0642
    3.588867           0    3.588867           0    3.588867      0.0640    3.588867     -0.0640
    3.601074           0    3.601074           0    3.601074      0.0639    3.601074     -0.0639
    3.613281           0    3.613281           0    3.613281      0.0673    3.613281     -0.0673
    3.625488           0    3.625488           0    3.625488      0.0841    3.625488     -0.0841
    3.637695           0    3.637695           0    3.637695      0.0839    3.637695     -0.0839
    3.649902           0    3.649902           0    3.649902      0.0837    3.649902     -0.0837
    3.662109           0    3.662109           1    3.662109      0.0835    3.662109     -0.0835
    3.674316           0    3.674316           0    3.674316      0.0833    3.674316     -0.0833
    3.686523           0    3.686523           0    3.686523      0.0832    3.686523     -0.0832
    3.698731           0    3.698731           0    3.698731      0.0830    3.698731     -0.0830
    3.710938           0    3.710938           0    3.710938      0.0828    3.710938     -0.0828
    3.723145           0    3.723145           0    3.723145      0.0826    3.723145     -0.0826
    3.735352           0    3.735352           0    3.735352      0.0824    3.735352     -0.0824
    3.747559           0    3.747559           0    3.747559      0.0822    3.747559     -0.0822
    3.759766           0    3.759766           0    3.759766      0.0821    3.759766     -0.0821
    3.771973           0    3.771973           0    3.771973      0.0819    3.771973     -0.0819
    3.784180           0    3.784180           0    3.784180      0.0817    3.784180     -0.0817
    3.796387           0    3.796387           0    3.796387      0.0815    3.796387     -0.0815
    3.808594           0    3.808594           0    3.808594      0.0813    3.808594     -0.0813
    3.820801           0    3.820801           0    3.820801      0.0812    3.820801     -0.0812
    3.833008           0    3.833008           0    3.833008      0.0810    3.833008     -0.0810
    3.845215           0    3.845215           0    3.845215      0.0808    3.845215     -0.0808
    3.857422           0    3.857422           0    3.857422      0.0806    3.857422     -0.0806
    3.869629           0    3.869629           0    3.869629      0.0804    3.869629     -0.0804
    3.881836           0    3.881836           0    3.881836      0.0838    3.881836     -0.0838
    3.894043           0    3.894043           0    3.894043      0.1006    3.894043     -0.1006
    3.906250           1    3.906250           0    3.906250      0.1003    3.906250      0.8997
    3.918457           0    3.918457           0    3.918457      0.1001    3.918457     -0.1001
    3.930664           0    3.930664           1    3.930664      0.0999    3.930664     -0.0999
    3.942871           0    3.942871           0    3.942871      0.0997    3.942871     -0.0997
    3.955078           0    3.955078           0    3.955078      0.0995    3.955078     -0.0995
    3.967285           0    3.967285           0    3.967285      0.0992    3.967285     -0.0992
    3.979492           0    3.979492           0    3.979492      0.0990    3.979492     -0.0990
    3.991699           0    3.991699           0    3.991699      0.0988    3.991699     -0.0988
    4.003906           0    4.003906           0    4.003906      0.0986    4.003906     -0.0986
    4.016113           0    4.016113           0    4.016113      0.0984    4.016113     -0.0984
    4.028320           0    4.028320           0    4.028320      0.0981    4.028320     -0.0981
    4.040527           0    4.040527           0    4.040527      0.0979    4.040527     -0.0979
    4.052734           0    4.052734           0    4.052734      0.0977    4.052734     -0.0977
    4.064941           0    4.064941           0    4.064941      0.0975    4.064941     -0.0975
    4.077148           0    4.077148           0    4.077148      0.0973    4.077148     -0.0973
    4.089356           0    4.089356           0    4.089356      0.0971    4.089356     -0.0971
    4.101563           0    4.101563           0    4.101563      0.0968    4.101563     -0.0968
    4.113770           0    4.113770           0    4.113770      0.0966    4.113770     -0.0966
    4.125977           0    4.125977           0    4.125977      0.0964    4.125977     -0.0964
    4.138184           0    4.138184           0    4.138184      0.0962    4.138184     -0.0962
    4.150391           0    4.150391           0    4.150391      0.0960    4.150391     -0.0960
    4.162598           0    4.162598           0    4.162598      0.0958    4.162598     -0.0958
    4.174805           0    4.174805           0    4.174805      0.0956    4.174805     -0.0956
    4.187012           0    4.187012           0    4.187012      0.0954    4.187012     -0.0954
    4.199219           0    4.199219           0    4.199219      0.0951    4.199219     -0.0951
    4.211426           0    4.211426           0    4.211426      0.0949    4.211426     -0.0949
    4.223633           0    4.223633           0    4.223633      0.0947    4.223633     -0.0947
    4.235840           0    4.235840           0    4.235840      0.0945    4.235840     -0.0945
    4.248047           1    4.248047           0    4.248047      0.0943    4.248047      0.9057
